Acacia pycnantha
Adenanthos cuneatus
Adenanthos obovatus
Adiantum viridimontanum
Ailanthus altissima
Aiphanes
Alloxylon flammeum
Alloxylon pinnatum
Banksia aculeata
Banksia attenuata
Banksia aemula
Banksia aquilonia
Banksia blechnifolia
Banksia brownii
Banksia caleyi
Banksia canei
Banksia coccinea
Banksia cuneata
Banksia dentata
Banksia epica
Banksia ericifolia
Banksia grossa
Banksia ilicifolia
Banksia integrifolia
Banksia lemanniana
Banksia marginata
Banksia menziesii
Banksia oblongifolia
Banksia paludosa
Banksia petiolaris
Banksia prionotes
Banksia scabrella
Banksia sceptrum
Banksia serrata
Banksia sessilis
Banksia speciosa
Banksia sphaerocarpa
Banksia spinulosa
Banksia telmatiaea
Banksia verticillata
Banksia violacea
Brachychiton rupestris
Cucurbita
Dracophyllum fiordense
Drosera regia
Epacris impressa
Ficus aurea
Ficus macrophylla
Ficus obliqua
Ficus rubiginosa
Grevillea juniperina
Isopogon anemonifolius
Isopogon anethifolius
Lambertia formosa
Persoonia lanceolata
Persoonia levis
Persoonia linearis
Persoonia terminalis
Pinguicula moranensis
Salvia yangii
Symphyotrichum lateriflorum
Telopea oreades
Telopea speciosissima
Telopea truncata
Verbascum thapsus
Xerochrysum bracteatum
